0,|(0,0)|,1,STEREOPAIR
1,|(1,2)|,2,STEREOPAIR
2,|(3,3)|,1,STEREOPAIR
3,|(4,75)|,72,STEREOPAIR
4,|(76,147)|,72,STEREOPAIR
9,|(544,544)|,1,STEREOPAIR
10,|(545,546)|,2,STEREOPAIR
11,|(547,552)|,6,STEREOPAIR
12,|(553,554)|,2,STEREOPAIR
13,|(555,555)|,1,STEREOPAIR
14,|(556,627)|,72,STEREOPAIR
15,|(628,699)|,72,STEREOPAIR
