0,|(0,0)|,1,-1
1,|(1,2)|,2,-1
2,|(3,3)|,1,-1
3,|(4,75)|,72,-1
4,|(76,147)|,72,-1
5,|(148,246)|,99,-1
6,|(247,345)|,99,-1
7,|(346,444)|,99,-1
8,|(445,543)|,99,-1
9,|(544,544)|,1,-1
10,|(545,546)|,2,-1
11,|(547,552)|,6,-1
12,|(553,554)|,2,-1
13,|(555,555)|,1,-1
14,|(556,627)|,72,-1
15,|(628,699)|,72,-1
16,|(700,798)|,99,-1
17,|(799,897)|,99,-1
18,|(898,996)|,99,-1
19,|(997,1095)|,99,-1
20,|(1096,1096)|,1,-1
21,|(1097,1097)|,1,-1
22,|(1098,1098)|,1,-1
23,|(1099,1100)|,2,-1
24,|(1101,1236)|,136,-1
25,|(1237,1238)|,2,-1
26,|(1239,1240)|,2,-1
27,|(1241,1241)|,1,-1
28,|(1242,1243)|,2,-1
29,|(1244,1244)|,1,-1
30,|(1245,1253)|,9,-1
31,|(1254,1255)|,2,-1
32,|(1256,1391)|,136,-1
33,|(1392,1393)|,2,-1
34,|(1394,1394)|,1,-1
35,|(1395,1396)|,2,-1
36,|(1397,1532)|,136,-1
37,|(1533,1533)|,1,-1
38,|(1534,1534)|,1,-1
39,|(1535,1670)|,136,-1
40,|(1671,1671)|,1,-1
41,|(1672,1672)|,1,-1
42,|(1673,1674)|,2,-1
43,|(1675,1808)|,134,-1
44,|(1809,1810)|,2,-1
45,|(1811,1812)|,2,-1
46,|(1813,1813)|,1,-1
47,|(1814,1817)|,4,-1
48,|(1818,1822)|,5,-1
49,|(1823,1824)|,2,-1
50,|(1825,1954)|,130,-1
51,|(1955,1956)|,2,-1
52,|(1957,1958)|,2,-1
53,|(1959,2082)|,124,-1
54,|(2083,2083)|,1,-1
55,|(2084,2084)|,1,-1
56,|(2085,2220)|,136,-1
57,|(2221,2221)|,1,-1
58,|(2222,2357)|,136,-1
59,|(2358,2358)|,1,-1
60,|(2359,2494)|,136,-1
61,|(2495,2495)|,1,-1
62,|(2496,2631)|,136,-1
63,|(2632,2632)|,1,-1
64,|(2633,2768)|,136,-1
65,|(2769,2769)|,1,-1
66,|(2770,2916)|,147,-1
67,|(2917,2917)|,1,-1
68,|(2918,2918)|,1,-1
69,|(2919,2919)|,1,-1
70,|(2920,2920)|,1,-1
71,|(2921,3088)|,168,-1
72,|(3089,3089)|,1,-1
73,|(3090,3256)|,167,-1
74,|(3257,3257)|,1,-1
75,|(3258,3258)|,1,-1
76,|(3259,3259)|,1,-1
77,|(3260,3260)|,1,-1
78,|(3261,3428)|,168,-1
79,|(3429,3432)|,4,-1
80,|(3433,3433)|,1,-1
81,|(3434,3599)|,166,-1
82,|(3600,3639)|,40,-1
83,|(3640,3640)|,1,-1
84,|(3641,3641)|,1,-1
85,|(3642,3642)|,1,-1
86,|(3643,3795)|,153,-1
87,|(3796,3796)|,1,-1
88,|(3797,3797)|,1,-1
89,|(3798,3798)|,1,-1
90,|(3799,3799)|,1,-1
91,|(3800,3800)|,1,-1
92,|(3801,3968)|,168,-1
93,|(3969,3969)|,1,-1
94,|(3970,3970)|,1,-1
95,|(3971,4138)|,168,-1
96,|(4139,4139)|,1,-1
97,|(4140,4140)|,1,-1
98,|(4141,4141)|,1,-1
99,|(4142,4142)|,1,-1
100,|(4143,4143)|,1,-1
101,|(4144,4144)|,1,-1
102,|(4145,4148)|,4,-1
103,|(4149,4153)|,5,-1
104,|(4154,4154)|,1,-1
105,|(4155,4155)|,1,-1
106,|(4156,4371)|,216,-1
107,|(4372,4372)|,1,-1
108,|(4373,4373)|,1,-1
109,|(4374,4374)|,1,-1
110,|(4375,4375)|,1,-1
111,|(4376,4463)|,88,-1
112,|(4464,4466)|,3,-1
113,|(4467,4467)|,1,-1
114,|(4468,4468)|,1,-1
115,|(4469,4469)|,1,-1
116,|(4470,4470)|,1,-1
117,|(4471,4577)|,107,-1
118,|(4578,4656)|,79,-1
119,|(4657,4657)|,1,-1
120,|(4658,4658)|,1,-1
121,|(4659,4826)|,168,-1
122,|(4827,4827)|,1,-1
123,|(4828,4828)|,1,-1
124,|(4829,4829)|,1,-1
125,|(4830,4830)|,1,-1
126,|(4831,4831)|,1,-1
127,|(4832,4833)|,2,-1
128,|(4834,4834)|,1,-1
129,|(4835,4835)|,1,-1
130,|(4836,4841)|,6,-1
131,|(4842,4842)|,1,-1
132,|(4843,4844)|,2,-1
133,|(4845,4846)|,2,-1
134,|(4847,4847)|,1,-1
135,|(4848,4983)|,136,-1
136,|(4984,4985)|,2,-1
137,|(4986,5121)|,136,-1
138,|(5122,5122)|,1,-1
139,|(5123,5258)|,136,-1
140,|(5259,5259)|,1,-1
141,|(5260,5395)|,136,-1
142,|(5396,5396)|,1,-1
143,|(5397,5532)|,136,-1
144,|(5533,5533)|,1,-1
145,|(5534,5669)|,136,-1
146,|(5670,5671)|,2,-1
147,|(5672,5807)|,136,-1
148,|(5808,5808)|,1,-1
149,|(5809,5944)|,136,-1
150,|(5945,5945)|,1,-1
151,|(5946,6081)|,136,-1
152,|(6082,6082)|,1,-1
153,|(6083,6218)|,136,-1
154,|(6219,6219)|,1,-1
155,|(6220,6355)|,136,-1
156,|(6356,6356)|,1,-1
157,|(6357,6492)|,136,-1
158,|(6493,6493)|,1,-1
159,|(6494,6594)|,101,-1
160,|(6595,6595)|,1,-1
161,|(6596,6596)|,1,-1
162,|(6597,6602)|,6,-1
163,|(6603,6603)|,1,-1
164,|(6604,6662)|,59,-1
165,|(6663,6664)|,2,-1
166,|(6665,6666)|,2,-1
167,|(6667,6667)|,1,-1
168,|(6668,6803)|,136,-1
169,|(6804,6805)|,2,-1
170,|(6806,6941)|,136,-1
171,|(6942,6942)|,1,-1
172,|(6943,7078)|,136,-1
173,|(7079,7079)|,1,-1
174,|(7080,7215)|,136,-1
175,|(7216,7216)|,1,-1
176,|(7217,7352)|,136,-1
177,|(7353,7353)|,1,-1
178,|(7354,7488)|,135,-1
179,|(7489,7490)|,2,-1
180,|(7491,7626)|,136,-1
181,|(7627,7627)|,1,-1
182,|(7628,7763)|,136,-1
183,|(7764,7764)|,1,-1
