0,|(0,0)|,1,1
1,|(1,2)|,2,2
2,|(3,3)|,1,1
3,|(4,75)|,72,14
4,|(76,147)|,72,15
5,|(148,246)|,99,16
6,|(247,345)|,99,17
7,|(346,444)|,99,17
8,|(445,543)|,99,19
9,|(544,544)|,1,1
10,|(545,546)|,2,2
11,|(547,552)|,6,6
12,|(553,554)|,2,2
13,|(555,555)|,1,1
14,|(556,627)|,72,3
15,|(628,699)|,72,4
16,|(700,798)|,99,5
17,|(799,897)|,99,7
18,|(898,996)|,99,99
19,|(997,1095)|,99,8
20,|(1096,1096)|,1,1
21,|(1097,1097)|,1,1
22,|(1098,1098)|,1,1
23,|(1099,1100)|,2,2
24,|(1101,1236)|,136,39
25,|(1237,1238)|,2,2
26,|(1239,1240)|,2,2
27,|(1241,1241)|,1,1
28,|(1242,1243)|,2,2
29,|(1244,1244)|,1,1
30,|(1245,1253)|,9,9
31,|(1254,1255)|,2,2
32,|(1256,1391)|,136,136
33,|(1392,1393)|,2,2
34,|(1394,1394)|,1,1
35,|(1395,1396)|,2,2
36,|(1397,1532)|,136,136
37,|(1533,1533)|,1,1
38,|(1534,1534)|,1,1
39,|(1535,1670)|,136,56
40,|(1671,1671)|,1,1
41,|(1672,1672)|,1,1
42,|(1673,1674)|,2,2
43,|(1675,1808)|,134,134
44,|(1809,1810)|,2,2
45,|(1811,1812)|,2,2
46,|(1813,1813)|,1,1
47,|(1814,1817)|,4,4
48,|(1818,1822)|,5,5
49,|(1823,1824)|,2,2
50,|(1825,1954)|,130,130
51,|(1955,1956)|,2,2
52,|(1957,1958)|,2,2
53,|(1959,2082)|,124,124
54,|(2083,2083)|,1,1
55,|(2084,2084)|,1,1
56,|(2085,2220)|,136,210
57,|(2221,2221)|,1,1
58,|(2222,2357)|,136,62
59,|(2358,2358)|,1,1
60,|(2359,2494)|,136,62
61,|(2495,2495)|,1,1
62,|(2496,2631)|,136,149
63,|(2632,2632)|,1,1
64,|(2633,2768)|,136,143
65,|(2769,2769)|,1,1
66,|(2770,2916)|,147,147
67,|(2917,2917)|,1,1
68,|(2918,2918)|,1,1
69,|(2919,2919)|,1,1
70,|(2920,2920)|,1,1
